Dates,KATE US Equity,KBH US Equity,KDP US Equity,KEY US Equity,KEYS US Equity,KHC UW Equity,KIM US Equity,KLAC UQ Equity,KLAC UW Equity,KMB US Equity,KMI US Equity,KMRTQ US Equity,KMX US Equity,KO US Equity,KR US Equity,KRB US Equity,KRFT UW Equity,KRI US Equity,KSE US Equity,KSS US Equity,KSU US Equity,L US Equity,LDG US Equity,LDOS US Equity,LDWIF US Equity,LEG US Equity,LEHMQ US Equity,LEN US Equity,LHX US Equity,LIN US Equity,LKQ UW Equity,LLTC UQ Equity,LLTC UW Equity,LLY US Equity,LM US Equity,LMT US Equity,LNC US Equity,LNT US Equity,LNT UW Equity,LO US Equity,LOW US Equity,LPX US Equity,LRCX UW Equity,LUMN US Equity,LUV US Equity,LVLT US Equity,LVS US Equity,LW US Equity,LXK US Equity,LYB US Equity,M US Equity,MA US Equity,MAA US Equity,MAC US Equity,MAR US Equity,MAR UW Equity,MAS US Equity,MAT US Equity,MAT UW Equity,MBI US Equity,MCD US Equity,MCHP UW Equity,MCK US Equity,MCO US Equity,MDLZ US Equity,MDLZ UW Equity,MDP US Equity,MDRIQ US Equity,MDT US Equity,MEE US Equity,MEL US Equity,MER US Equity,MET US Equity,META UW Equity,MFE US Equity,MGM US Equity,MHK US Equity,MHS US Equity,MIRKQ US Equity,MJN US Equity,MKC US Equity,MKG US Equity,MKTX UW Equity,MLM US Equity,MMM US Equity,MNKKQ US Equity,MNST UW Equity,MO US Equity,MOLX UQ Equity,MOLX UW Equity,MOS US Equity,MPC US Equity,MRK US Equity,MRO US Equity,MRSH US Equity,MS US Equity,MSCI US Equity,MSFT UQ Equity,MSFT UW Equity,MSI US Equity,MTB US Equity,MTD US Equity,MTG US Equity,MTLQQ US Equity,MTW US Equity,MU US Equity,MU UW Equity,MUR US Equity,MWI US Equity,MWV US Equity,MWW US Equity,MWW UQ Equity,MWW UW Equity,MXIM UQ Equity,MXIM UW Equity,MYL US Equity,MYL UW Equity,MZIAQ US Equity,NAV US Equity,NAVI UW Equity,NBL US Equity,NBR US Equity,NBR UA Equity,NC US Equity,NCC US Equity,NCE US Equity,NCLH US Equity,NDAQ UW Equity,NEBLQ US Equity,NEE US Equity,NEM US Equity,NFB US Equity,NFLX UW Equity,NFX US Equity,NGH US Equity,NI US Equity,NKE US Equity,NKTR UW Equity,NLSN US Equity,NMK US Equity,NOC US Equity,NOV US Equity,NOVL UQ Equity,NOVL UW Equity,NRG US Equity,NRTLQ US Equity,NSC US Equity,NTAP UQ Equity,NTAP UW Equity,NTRS UQ Equity,NTRS UW Equity,NUE US Equity,NVDA UQ Equity,NVDA UW Equity,NVR US Equity,NWL US Equity,NWL UW Equity,NWS UW Equity,NWSA UW Equity,NXTL UQ Equity,NYT US Equity,O US Equity,OAT US Equity,OI US Equity,OK US Equity,OKE US Equity,OMC US Equity,OMX US Equity,ORCL US Equity,ORCL UQ Equity,ORCL UW Equity,ORLY UW Equity,ORX US Equity,OWENQ US Equity,OXY US Equity,PALM UQ Equity,PARA US Equity,PARA UA Equity,PAYX UQ Equity,PAYX UW Equity,PBCT UW Equity,PBG US Equity,PBI US Equity,PCAR UQ Equity,PCAR UW Equity,PCG US Equity,PCH US Equity,PCP US Equity,PDCO UQ Equity,PDCO UW Equity,PDG US Equity,PEG US Equity,PEP US Equity,PEP UW Equity,PETM UW Equity,PFE US Equity,PFG US Equity,PFG UW Equity,PG US Equity,PGL US Equity,PGR US Equity,PH US Equity,PHM US Equity,PKG US Equity,PLD US Equity,PM US Equity,PMCS UQ Equity,PMCS UW Equity,PNC US Equity,PNR US Equity,PNW US Equity,PPG US Equity,PPL US Equity,PPW US Equity,PRDCQ US Equity,PRGO US Equity,PRGO UW Equity,PRU US Equity,PSA US Equity,PSX US Equity,PTC UQ Equity,PTC UW Equity,PTV US Equity,PVH US Equity,PVN US Equity,PWR US Equity,PXD US Equity,PYPL UW Equity,QCOM UQ Equity,QCOM UW Equity,QEP US Equity,QLGC UQ Equity,Low High Yield OAS,NonFarm ManufacturingWeekly hours,30Y T-Yield,MSCI Low Size,Total New Housing Started (000s),NonFarm Payroll (000s),Personal Income exl. Transfer,BCOM,CBOE Total Put-Call Ratio,Fear-Greed,MSCI Value,MSCI Momentum,MSCI Low Vol,MSCI High Div Yield
4/30/2004,35.1,34.465,,29.7,,,21.37,41.67,41.67,61.6739,,0.1,12.96,25.285,8.75,24.38,,77.44,36.15,41.79,13.85,19.337,19.6,,0.007,22.6,36.7,46.7657,21.2811,36.55,2.22,35.63,35.63,73.81,61.3733,47.7,44.88,12.43,,,26.03,23.59,2.214,28.88,14.28,43.0498,,,90.46,,24.5,,32.25,38.764,21.9859,,24.6177,16.96,,58.89,27.23,14.01,32.86,32.255,21.5324,,50.94,4.2635,50.46,23.42,29.64,54.23,30.7442,,15.68,22.905,77.14,17.7,0.3,,17.08,43.9375,,43.25,72.304,,0.147,12.8182,29.78,29.78,12.57,,44.8157,10.1865,45.1,42.6596,,25.97,25.97,66.8974,85,44.82,73.62,47.42,6.4267,13.62,,29.5573,19.96,23.29,25.61,25.61,25.61,45.99,45.99,22.91,,34.037,45.15,,11.525,1109,1109,6.1913,34.67,40.5,,,16.2326,7.9525,37.4,24.7467,0.361,26.34,29.9375,7.9221,8.9938,303.7485,,18.55,45.019,12.581,9.64,9.64,10.85,37.4,23.82,18.62,18.62,42.28,42.28,14.85,0.1712,0.1712,451,23.64,,,,23.86,45.81,18.5203,102.2,13.96,38,9.1704,39.755,33.73,11.25,11.22,11.22,1.496,10.375,0.58,22.6382,8.16,28.5133,33.5667,37.28,37.28,8.9333,29.27,43.75,16.7289,16.7289,27.52,31.4378,22.505,36.85,36.85,14,21.45,54.49,,27.7,33.8987,35.3,,52.875,41.8,21.88,36.86,24.585,21.98,30.3,,12.15,12.15,53.1,20.008,39.06,29.655,19.8811,20.125,0.0051,21.47,21.57,43.94,41.79,,11.45,11.45,22.95,18.07,12.13,5.47,32.71,,31.23,31.23,,13.495,8.04,40.6,4.7716,3001.18, 179.5 ,131412,10655.2,148.0462,0.767142857,,179267.1024,44246.59711,1055.45,1024.848021
5/31/2004,34.3,32.94,,31.41,,,22.975,48.18,48.18,62.0979,,0.1,11.435,25.675,8.345,25.4,,75.98,35.4,47.56,13,19.21,21.42,,0.007,25.28,37.825,45.8174,21.8243,36.99,2.3138,39.66,39.66,73.67,58.4733,49.54,47.49,12.49,,,26.785,23.1,2.513,29.89,15.51,57.5997,,,94.32,,23.855,,35.28,41.8932,22.9976,,25.4439,17.48,,55.39,26.4,15.855,34.4,32.695,19.5368,,52.46,3.9951,47.9,24.62,29.44,56.8,31.6798,,16.65,22.205,74.24,17.515,0.255,,17.725,43.9375,,42.83,70.699,,0.274,11.1031,29.36,29.36,12.45,,45.1018,10.1197,44.12,44.4195,,26.35,26.35,72.4691,90.57,46.38,73,45.39,6.7099,15.03,,28.1592,19.96,24.5993,25.31,25.31,25.31,50.83,50.83,22.31,,38.8004,37.95,,11.335,1035,1035,6.4576,35.49,40.5,,,15.0531,7.9688,39.71,25.6667,0.472,24.875,29.9375,7.9613,8.8938,322.3484,,18.55,46.779,12.4728,9.11,9.11,10.57,38.3,24.23,19.8,19.8,42.95,42.95,16.4625,0.1965,0.1965,457.75,23.57,,,,23.13,46.63,19.3434,102.2,14.83,38,9.3542,39.935,35.15,11.4,11.32,11.32,1.498,10.375,0.54,21.1993,10.615,27.2149,33.5667,37.51,37.51,10.1524,29,44.33,16.5333,16.5333,28.5,31.3299,23.445,37.96,37.96,15.59,21.08,53.37,,31.09,33.5005,34.95,,53.91,41.42,21.4425,37.04,26.375,23.5,33.05,,14.1,14.1,55.21,20.5754,40.29,29.9,20.0202,20.125,0.0051,20.46,20.46,44.3,45.99,,12.125,12.125,23.58,18.93,13.6,5.3,30.95,,33.535,33.535,,15.35,8.59,41.1,5.2844,2934.17, 187.6 ,131697,10720.8,150.4365,1.007,,180526.3745,45329.4027,1064.88,1026.267245
6/30/2004,35.98,34.315,,29.89,,,22.75,49.38,49.38,62.0791,,0.1,10.935,25.24,9.1,25.79,,72,36.7,42.28,15.5,19.987,23.87,,0.007,26.71,37.625,44.6395,23.9737,39.91,2.3163,39.47,39.47,69.91,60.6733,52.08,47.25,13.04,,,26.275,23.65,2.68,30.04,16.77,52.6497,,,96.53,,24.55,,37.89,44.3189,23.254,,27.4038,18.25,,57.12,26,15.77,34.33,32.33,20.7276,,54.96,5.2442,48.72,28.21,29.33,53.98,31.9472,,18.13,23.47,73.33,18.75,0.359,,17,43.9375,,44.33,75.255,,0.264,11.5845,32.08,32.08,13.4,,45.2925,11.4856,45.38,43.8052,,28.56,28.56,66.8974,87.3,49.14,75.86,46.59,7.1537,15.31,,31.801,19.96,26.1757,25.72,25.72,25.72,52.42,52.42,20.25,,34.6432,38.76,,12.75,1130.5,1130.5,6.9132,35.01,40.5,,,16.5515,7.9938,38.76,25.3667,0.514,27.87,29.9375,8.1028,9.4688,299.3985,,18.55,48.715,14.1896,8.39,8.39,12.4,49.9,26.52,21.53,21.53,42.28,42.28,19.19,0.1708,0.1708,484.2,23.5,,,,26.66,44.71,20.2053,102.2,16.76,38,9.6256,37.945,37.64,11.93,11.93,11.93,1.507,10.375,0.59,23.2186,17.385,26.3517,33.5667,33.88,33.88,9.8889,30.54,44.25,17.1822,17.1822,27.94,34.5584,27.345,38.245,38.245,16.64,20.015,53.88,,32.45,32.4957,34.78,,54.44,42.15,21.325,39.64,26.015,23.9,34.63,,14.35,14.35,53.08,22.59,40.39,31.245,21.2962,20.125,0.0051,18.97,18.97,46.47,46.01,,12.5,12.5,24.94,19.25,14.67,6.22,35.08,,36.49,36.49,,13.295,8.03,41,5.3446,2984.65, 172.3 ,131794,10734.6,144.0336,0.868571429,,185121.6941,46720.59373,1071.11,1047.806626
7/30/2004,36.19,32.025,,30.18,,,24.05,41.21,41.21,60.3735,,0.1,10.4,21.93,7.9,24.69,,65.79,35.99,45.76,14.62,18.877,21,,0.007,27.05,35.05,42.6032,22.429,39.45,2.2213,39.1,39.1,63.72,52.36,52.99,43.7,12.955,,,24.36,23.68,2.385,30.99,14.47,45.4498,,,88.5,,23.96,,35.85,44.3466,22.7505,,26.5776,17.52,,53.98,27.5,14.485,32.17,34.05,19.9883,,52.88,5.5075,49.67,27.65,27.48,49.72,31.7868,,17.98,22.075,73.54,15.15,0.31,,17.885,43.9375,,43.75,68.859,,0.214,11.0175,28.96,28.96,13.65,,43.2424,11.434,44.38,40.9496,,28.46,28.46,58.3931,93.23,41.7,71,43.14,7.1663,13.53,,33.3717,19.96,26.5943,22.09,22.09,22.09,48.1,48.1,14.82,,31.1789,35.95,,13.8275,1162.5,1162.5,6.6505,36.5,40.5,,,16.914,8.4163,40.47,26.0333,0.293,29.535,29.9375,8.1343,9.0887,263.0987,,18.55,47.718,15.0728,6.84,6.84,13.295,36.6,26.69,19.31,19.31,40.13,40.13,20.9125,0.1283,0.1283,466,21.6,,,,22.76,41.6,19.6194,102.2,14.7,38,9.1923,36.01,32.25,10.51,10.51,10.51,1.35,10.375,0.53,23.631,20.11,24.7804,33.5667,30.71,30.71,10.0032,27.85,42.2,17.7659,17.7659,28.54,33.272,28.165,36.71,36.71,16.02,19.5,50,,31.01,30.2965,33.99,,52.15,39,19.155,38.2533,27.315,23.36,35.14,,11.88,11.88,50.6,21.0321,40.5,29.475,21.5049,20.125,0.0051,16.66,16.66,46.56,47.13,,11.35,11.35,23.58,18.97,13.84,6.28,36.05,,34.54,34.54,,12.225,8.12,40.3,5.2876,3054.87, 182.0 ,131853,10788.8,146.4138,0.83952381,,182489.7101,44396.37979,1043.56,1037.56548
8/31/2004,38.07,34.385,,31.35,,,25.16,37.36,37.36,62.8518,,0.1,9.79,22.355,8.265,24.14,,64.43,38.1,49.48,15,18.933,24.28,,0.007,26.89,36.945,45.7176,22.7502,40.58,2.28,35.77,35.77,63.45,53.7867,53.78,45.3,12.995,,,24.85,24.7,2.155,32.19,14.82,39.2998,,,88.45,,21.7,,39.65,50.457,22.1211,,28.2387,16.09,,57.27,27.02,13.195,30.95,34.28,20.4659,,50.08,6.2198,49.75,27.52,28.86,51.07,33.1948,,19.78,20.67,76.92,15.615,0.4,,16.775,43.9375,,44.99,68.859,,0.247,11.3299,28.87,28.87,15.94,,42.8801,11.0091,44.69,42.1117,,27.3,27.3,59.1996,94.98,46.04,68.27,41.31,7.0078,11.51,,32.582,19.96,26.8526,20.23,20.23,20.23,43.43,43.43,17.42,,29.4468,35.78,,12.87,1102.5,1102.5,5.7678,37.79,40.5,,,17.5693,8.65,44.39,27.96,0.199,27.675,29.9375,8.1735,9.4138,191.099,,18.55,46.856,13.4732,5.9,5.9,13.675,37.6,28.4,20.07,20.07,43.05,43.05,19.5725,0.1038,0.1038,502.25,21.53,,,,23.19,40.62,21.3576,102.2,16.05,38,10.3129,34.405,31.29,9.97,9.97,9.97,1.314,10.375,0.53,24.7725,16.325,24.5738,33.5667,29.67,29.67,10.473,26.79,43.56,17.8341,17.8341,29.19,35.6041,27.545,36.615,36.615,17.52,21.17,50,,28.06,30.9695,34.71,,55.97,41.55,20.075,36.2467,29.475,22.9,37.35,,9.34,9.34,53.67,22.3214,42.21,29.885,22.1916,20.125,0.0051,19.64,19.64,46.18,50.85,,12.175,12.175,23.65,20.16,14.44,6.42,33.45,,38.05,38.05,,13.055,8.48,40.9,5.1969,2921.74, 185.9 ,131940,10816.8,143.5561,0.905454545,,185270.9395,44723.27949,1062.91,1062.369095
9/30/2004,37.72,42.245,,31.6,,,25.65,41.48,41.48,60.8635,,0.1,10.775,20.025,7.76,25.2,,65.45,39.2,48.19,15.17,19.5,24.2,,0.007,28.1,39.86,47.5143,25.953,42.74,2.2838,36.24,36.24,60.05,53.27,55.78,47,12.44,,,27.175,25.95,2.188,34.24,13.62,38.8498,,,84.01,,22.715,,38.95,49.3368,24.2237,,30.3481,18.13,,58.21,28.03,13.42,25.65,36.625,20.7538,,51.38,6.0907,51.9,28.93,27.69,49.72,34.4424,,20.1,24.825,79.39,15.45,0.41,,17.17,43.9375,,45.27,66.861,,0.251,10.8878,29.82,29.82,17.39,,31.4664,12.5298,45.76,40.9247,,27.65,27.65,66.1276,95.7,47.22,66.55,42.48,7.4939,12.03,,37.4406,19.96,28.4112,24.64,24.64,24.64,42.29,42.29,18,,27.0217,37.19,,14.56,1183.75,1183.75,6.2692,38.62,40.5,,,19.6355,8.54,45.53,29.6333,0.22,30.62,29.9375,8.2561,9.85,217.1989,,18.55,48.38,14.807,6.31,6.31,13.47,34,29.74,23,23,40.8,40.8,22.8425,0.121,0.121,551,20.04,,,,23.84,39.1,21.8031,102.2,16,38,11.3897,36.53,33.28,11.28,11.28,11.28,1.276,10.375,0.64,26.8253,15.22,24.7582,33.5667,30.15,30.15,11.3429,27.15,44.1,20.48,20.48,30.4,38.8491,30.025,38.28,38.28,19.88,21.3,48.65,,28.39,29.0072,35.97,,54.12,41.68,21.1875,39.24,30.685,24.47,37.02,,8.81,8.81,54.1,23.4428,41.5,30.64,21.89,20.125,0.0051,20.55,20.55,47.04,49.55,,13.2,13.2,23.25,22.28,15.54,6.05,34.48,,39.04,39.04,,14.805,8.17,40.6,4.9272,2927.16, 164.0 ,132091,10834.4,153.1752,0.909047619,,186748.2237,47142.76633,1071.03,1061.881314
10/29/2004,40.88,41.125,,33.59,,,27.275,45.53,45.53,56.2274,,0.1,13.17,20.33,7.555,25.63,,68.53,39.95,50.76,16.95,19.967,24.7,,0.007,28.13,41.075,44.899,29.0661,42.2,2.0456,37.88,37.88,54.91,63.71,55.09,43.8,13.19,,,28.14,24.51,2.603,32.09,15.77,50.3997,,,83.11,,25.225,,39.33,55.3176,25.4032,,30.1108,17.51,,57.86,29.15,15.125,26.66,38.905,21.7941,,49,7.0456,51.11,26.93,28.9,53.94,34.175,,24.2,26.9,85.08,16.955,0.38,,17.715,43.9375,,45.53,64.854,,0.276,11.2165,29.57,29.57,15.04,,29.8549,11.5676,27.66,42.4106,,27.99,27.99,63.2684,103,47.9,64.31,38.55,7.4601,12.18,,34.5281,19.96,28.0816,28.05,28.05,28.05,43.99,43.99,17.22,,27.5,34.55,,14.5,1228,1228,6.8011,38.97,40.5,,,19.9544,8.6125,47.52,29.4,0.135,29.1,29.9375,8.429,10.1638,216.1489,,18.55,46.946,15.19,7.19,7.19,13.87,33.9,33.95,24.47,24.47,42.54,42.54,21.115,0.1206,0.1206,627,21.56,,,,26.49,40.05,23.2363,102.2,18.53,38,11.7399,39.45,29.52,12.66,12.66,12.66,1.435,10.375,0.56,26.7774,14.485,26.9198,33.5667,32.794,32.794,11.9016,28.04,43.75,20.5363,20.5363,32.04,39.0815,30,37.5,37.5,21.25,21.295,49.58,,31.98,27.4431,37.76,,51.18,42.78,23.3875,47.0867,27.44,21.93,37.5,,10.26,10.26,52.3,25.1015,42.62,31.875,24.1264,20.125,0.0051,18.18,18.18,46.47,52.25,,12.975,12.975,23.69,22.79,15.55,6.72,32.4,,41.81,41.81,,16.25,8.09,40.7,4.8919,3016.28, 181.3 ,132431,10842.5,155.5494,0.848571429,,189373.6824,47502.24475,1080.44,1064.84875
11/30/2004,41.07,43.945,,33.29,,,28.44,45.06,45.06,59.94,,0.1,13.925,19.655,8.09,26.56,,68.09,39.52,46.16,17.01,23.303,26.7,,0.007,29.85,41.89,44.8491,31.2674,44.9,2.2425,38.16,38.16,53.33,68.14,60.84,46.02,13.64,,,27.665,24.47,2.601,32.92,15.73,51.7497,,,84.9,,27.4,,39.46,56.2341,26.5034,,30.9985,18.95,,59.96,30.74,14.09,29.55,40.375,22.3764,,52.72,8.5167,48.05,35.12,29.22,55.71,34.7543,,28.9,29.15,87.7,18.86,0.37,,18.225,43.9375,19.6,50.25,66.543,,0.352,13.3066,27.57,27.57,17.38,,26.7178,11.9713,28.59,42.1283,,26.81,26.81,70.5996,105.41,51.6,68,38.59,7.8933,11.08,,36.8107,19.96,29.9698,28.19,28.19,28.19,40.96,40.96,18.16,,29.9,41.15,,15.9475,1300,1300,7.9676,37.08,40.5,,,21.1644,8.7913,47.35,28.8,0.163,31.425,29.9375,8.5626,10.5825,280.2736,,18.55,51.101,16.312,6.1,6.1,16,34.7,34.33,30.16,30.16,47.04,47.04,26.45,0.1594,0.1594,690.9,23.08,,,,28.46,41,24.1272,102.2,20.92,38,12.2214,40.5,30.27,12.74,12.66,12.66,1.451,10.375,4.84,28.8781,17.52,25.5992,33.5667,33.16,33.16,12.6222,28.02,43.77,23.1407,23.1407,33.26,42.0942,32.42,40.86,40.86,21.51,21.995,49.91,,34.27,26.3245,37.68,,53.48,44.62,22.7475,49.8667,27.63,23,39.95,,11.04,11.04,54.4,26.8743,44.2,33.735,24.1032,20.125,0.0051,18.04,18.04,48.95,53.38,,14.625,14.625,24.85,27.3,16.05,7.71,35.2,,41.62,41.62,,17.195,7.16,40.8,4.7889,3087.45, 138.1 ,132504,10809,153.406,0.737142857,,197724.1749,51162.10697,1137.37,1100.515865
12/31/2004,42.21,52.2,,33.9,,,28.995,46.58,46.58,63.0744,,0.1,15.525,20.82,8.77,28.19,,66.94,39.45,49.17,17.73,23.433,27.57,,0.007,28.43,43.74,56.578,29.1889,44.15,2.5088,38.76,38.76,56.75,73.26,55.55,46.68,14.3,,,28.795,26.74,2.891,35.47,16.28,50.8497,48,,85,,28.895,,41.22,58.1413,29.3612,,32.1059,19.49,,63.28,32.06,13.33,31.46,43.425,23.2989,,54.2,9.4768,49.67,34.95,31.11,59.77,36.0999,,28.93,36.37,91.25,20.8,0.385,,19.3,43.9375,17.01,53.66,68.617,,0.379,14.1422,30,30,16.32,,30.6463,11.4158,32.9,46.088,,26.71,26.71,70.4426,107.84,51.31,68.91,40.06,7.9567,12.35,,34.7136,19.96,30.1835,33.64,33.64,33.64,42.39,42.39,17.68,,33.9,43.98,,15.415,1282.25,1282.25,7.67,37.55,40.5,,,21.7279,9.3438,44.41,28.85,0.176,29.525,29.9375,8.9516,11.3363,303.5985,,18.55,49.314,15.9019,6.75,6.75,18.025,34.7,36.19,33.22,33.22,48.58,48.58,26.17,0.1963,0.1963,769.4,24.19,,,,30,40.8,24.4904,102.2,22.65,38,12.4402,42.16,31.38,13.72,13.72,13.72,1.502,10.375,4.7,27.9908,15.775,26.846,33.5667,34.08,34.08,12.346,27.04,46.28,23.8459,23.8459,33.28,41.978,32.84,43.39,43.39,18.86,25.885,52.2,,35.53,25.4903,40.94,,55.08,43.95,21.21,50.4933,31.9,23.55,40.39,,11.25,11.25,57.44,29.2515,44.41,34.08,24.7202,20.125,0.0051,17.27,17.27,54.96,55.75,,14.725,14.725,25.29,27,16.47,8,35.1,,42.4,42.4,,18.365,6.49,41.2,5.002,3258.08, 140.2 ,132629,11216.7,145.6045,0.781363636,,204390.1909,52156.23485,1174.73,1134.335515
1/31/2005,41.94,54.325,,33.42,,,26.49,46.25,46.25,62.7869,,0.1,14.465,20.745,8.55,26.58,,65.11,39.47,47.01,17.46,22.667,26.26,,0.007,28.5,45.595,56.3684,30.5966,43.15,2.0913,37.74,37.74,54.24,77.23,57.81,46.14,13.75,,,28.495,25.6,2.676,32.6,14.48,41.0998,43.4,,83.35,,28.4,,37.82,52.966,29.4544,,32.3432,19.45,,59.74,32.39,13.025,34.49,41.89,22.2325,,48.03,9.549,52.49,37.93,29.35,60.07,35.4226,,25.85,35.905,88.51,21.285,0.28,,18.585,43.9375,13.89,54.02,70.531,,0.426,14.7741,28.72,28.72,16.5,,26.7464,11.7558,32.5,46.4532,,26.28,26.28,64.4632,102.36,50.16,63.9,36.81,7.6926,10.41,,38.5237,19.96,25.7304,31.29,31.29,31.29,39.01,39.01,16.63,,31.7,38.92,,14.7925,1260,1260,7.2734,35.55,40.5,,,23.3049,9.58,41.59,28.7,0.164,30.6,29.9375,8.9988,10.8288,252.7487,,18.55,47.064,16.6184,5.77,5.77,17.5,32.5,34.92,31.84,31.84,43.64,43.64,28.08,0.191,0.191,791.25,21.52,,,,28.69,38.88,22.573,102.2,22.72,38,12.1251,42.445,29.51,13.77,13.77,13.77,1.524,10.375,2.67,28.0004,12.9375,27.5468,33.5667,30.49,30.49,11.7556,27.35,44.74,20.9363,20.9363,35,38.1935,35.15,46.58,46.58,17.05,26.375,53.7,,30.23,22.9024,40.58,,53.23,42.83,20.9125,43.44,33.04,22.31,37.23,,10.28,10.28,53.87,29.7619,41.7,34.39,25.0543,20.125,0.0051,17.15,17.15,53.91,52.51,,14.25,14.25,22.21,27.21,16.68,7.48,38.39,,37.24,37.24,,19.14,6.58,40.6,4.8261,3384.55, 142.9 ,132781,10842,146.8208,0.8435,,200282.4285,51070.64816,1155.65,1111.391924
2/28/2005,42.3,62.4,,33,,,26.555,49.41,49.41,63.2373,,0.1,16.5,21.4,8.995,25.37,,65.5,39.55,47.87,19.62,23.76,27.23,,0.007,27.67,45.59,60.7105,31.5083,44.83,2.2738,39.06,39.06,56,80.64,59.22,46.85,13.375,,,29.39,26.27,3.144,33.64,13.85,34.9498,47.9,,80.13,,28.225,,37.56,52.966,29.8833,,29.6362,20.92,,58.6,33.08,13.73,37.34,41.955,21.8857,,45.89,10.2407,52.12,43.58,28.68,58.58,36.5722,,23.13,37.085,89.74,22.21,0.292,,18.995,43.9375,11.85,57.68,70.18,,0.456,15.1953,25.13,25.13,16.46,,30.2268,14.3692,32.65,46.8766,,25.18,25.18,64.1355,99.01,52.5,62.74,35.65,8.707,11.5,,43.1666,19.96,27.9302,28.85,28.85,28.85,43.02,43.02,17.6,,28.4,39.46,,16.91,1435,1435,8.092,35.77,40.5,,3.5133,24.9299,9.9188,45,28.81,0.153,37.125,29.9375,8.8966,10.8688,260.0987,,18.55,47.99,20.4305,5.24,5.24,19.255,26.8,35.89,30.01,30.01,42.25,42.25,31.17,0.2416,0.2416,792.25,22.29,,,,29.43,36.66,22.7763,102.2,24.89,38,12.8254,45.535,31.57,12.95,12.91,12.91,1.697,10.375,2.2,33.7031,11.91,25.7468,33.5667,31.93,31.93,12.127,27.22,45.86,22.2993,22.2993,35.18,38.3014,37.63,49.62,49.62,17.29,27.275,53.86,,30.5,24.9216,39.02,,53.09,42.78,21.775,43.8667,39.01,24.52,38.82,,9.95,9.95,52.64,27.8279,41.75,35.975,25.3048,20.125,0.0051,17.57,17.57,57,54.56,,14.375,14.375,22.61,27.73,17.15,7.85,42.17,,36.11,36.11,,20.145,6.51,40.4,4.5849,3284.28, 149.1 ,133033,10836.7,156.8857,0.834736842,,206217.499,54110.32269,1182.06,1155.584855
3/31/2005,40.13,58.73,,32.45,,,26.95,46.01,46.01,62.9977,,0.1,15.75,20.835,8.015,24.55,,67.25,38.97,51.63,19.26,24.513,34.22,,0.007,28.88,47.08,56.578,30.847,47.86,2.5088,38.31,38.31,52.1,78.14,61.06,45.14,13.39,,,28.545,25.14,2.886,32.84,14.24,30.8998,45,,79.97,,31.82,,36.5,49.3275,31.17,,30.4711,21.35,,52.28,31.14,13.005,37.75,40.43,21.624,,46.75,9.771,50.95,40.04,28.54,56.6,34.8434,,22.56,35.41,84.3,24.785,0.285,,17.215,43.9375,11.17,55.92,71.643,,0.626,15.1351,26.36,26.36,17.06,,30.8656,14.2417,30.42,47.5241,,24.17,24.17,61.3097,102.06,47.5,61.67,29.39,8.5358,10.34,,42.6013,19.96,28.3399,28.01,28.05,28.05,40.87,40.87,17.72,,30.5,36.4,,17.005,1478.5,1478.5,7.4182,33.5,40.5,,3.5667,24.5542,10.0375,42.25,27.74,0.155,37.13,29.9375,8.9555,10.4138,209.099,,18.55,48.969,21.0434,5.96,5.96,17.075,27.3,37.05,27.66,27.66,43.44,43.44,28.78,0.198,0.198,785,21.94,,,,28.42,36.58,22.1566,102.2,25.14,38,13.4908,44.26,33.5,12.48,12.48,12.48,1.651,10.375,2.42,34.1348,12.69,25.6951,33.5667,32.82,32.82,13,27.85,45.12,21.4489,21.4489,34.1,39.0649,38.505,49.95,49.95,16.22,27.195,53.03,,28.75,24.9026,38.49,,53,41.92,22.94,40.6133,36.815,24.29,37.8,,8.8,8.8,51.48,26.1894,42.51,35.76,25.0497,20.125,0.0051,19.15,19.15,57.4,56.94,,13.975,13.975,23.35,26.64,17.16,7.63,42.72,,36.65,36.65,,20.25,6.45,40.4,4.7195,3358.69, 156.2 ,133152,10877.8,162.0939,0.899545455,,202823.0025,53561.56982,1175.67,1134.943303
